"","ENSG00000000003","X2"
"1","ENSG00000000005",0
"2","ENSG00000000419",151
"3","ENSG00000000457",180
"4","ENSG00000000460",33
"5","ENSG00000000938",9274
"6","ENSG00000000971",17
"7","ENSG00000001036",202
"8","ENSG00000001084",193
"9","ENSG00000001167",406
"10","ENSG00000001460",33
"11","ENSG00000001461",603
"12","ENSG00000001497",379
"13","ENSG00000001561",192
"14","ENSG00000001617",1
"15","ENSG00000001626",0
"16","ENSG00000001629",349
"17","ENSG00000001630",5
"18","ENSG00000001631",290
"19","ENSG00000002016",129
"20","ENSG00000002079",1
"21","ENSG00000002330",61
"22","ENSG00000002549",820
"23","ENSG00000002586",1884
"24","ENSG00000002587",29
"25","ENSG00000002726",5
"26","ENSG00000002745",7
"27","ENSG00000002746",0
"28","ENSG00000002822",362
"29","ENSG00000002834",6527
"30","ENSG00000002919",561
"31","ENSG00000002933",38
"32","ENSG00000003056",1272
"33","ENSG00000003096",8
"34","ENSG00000003137",30
"35","ENSG00000003147",24
"36","ENSG00000003249",53
"37","ENSG00000003393",174
"38","ENSG00000003400",793
"39","ENSG00000003402",5794
"40","ENSG00000003436",4
"41","ENSG00000003509",102
"42","ENSG00000003756",2194
"43","ENSG00000003987",13
"44","ENSG00000003989",0
"45","ENSG00000004059",817
"46","ENSG00000004139",76
"47","ENSG00000004142",574
"48","ENSG00000004399",1604
"49","ENSG00000004455",901
"50","ENSG00000004468",425
"51","ENSG00000004478",412
"52","ENSG00000004487",583
"53","ENSG00000004534",1585
"54","ENSG00000004660",348
"55","ENSG00000004700",280
"56","ENSG00000004766",163
"57","ENSG00000004776",0
"58","ENSG00000004777",104
"59","ENSG00000004779",114
"60","ENSG00000004799",204
"61","ENSG00000004809",33
"62","ENSG00000004838",32
"63","ENSG00000004846",1
"64","ENSG00000004848",0
"65","ENSG00000004864",87
"66","ENSG00000004866",37
"67","ENSG00000004897",341
"68","ENSG00000004939",834
"69","ENSG00000004948",0
"70","ENSG00000004961",147
"71","ENSG00000004975",355
"72","ENSG00000005001",4
"73","ENSG00000005007",2788
"74","ENSG00000005020",1338
"75","ENSG00000005022",1001
"76","ENSG00000005059",325
"77","ENSG00000005073",0
"78","ENSG00000005075",136
"79","ENSG00000005100",170
"80","ENSG00000005102",20
"81","ENSG00000005108",1
"82","ENSG00000005156",237
"83","ENSG00000005175",202
"84","ENSG00000005187",18
"85","ENSG00000005189",11
"86","ENSG00000005194",287
"87","ENSG00000005206",761
"88","ENSG00000005238",1135
"89","ENSG00000005243",11
"90","ENSG00000005249",179
"91","ENSG00000005302",851
"92","ENSG00000005339",3186
"93","ENSG00000005379",1025
"94","ENSG00000005381",26
"95","ENSG00000005421",0
"96","ENSG00000005436",105
"97","ENSG00000005448",84
"98","ENSG00000005469",95
"99","ENSG00000005471",42
"100","ENSG00000005483",2090
"101","ENSG00000005486",645
"102","ENSG00000005513",22
"103","ENSG00000005700",312
"104","ENSG00000005801",153
"105","ENSG00000005810",1213
"106","ENSG00000005812",631
"107","ENSG00000005844",8006
"108","ENSG00000005882",167
"109","ENSG00000005884",41
"110","ENSG00000005889",425
"111","ENSG00000005893",2610
"112","ENSG00000005955",865
"113","ENSG00000005961",141
"114","ENSG00000005981",0
"115","ENSG00000006007",602
"116","ENSG00000006015",356
"117","ENSG00000006016",5
"118","ENSG00000006025",462
"119","ENSG00000006042",2
"120","ENSG00000006047",0
"121","ENSG00000006059",0
"122","ENSG00000006062",681
"123","ENSG00000006071",0
"124","ENSG00000006074",0
"125","ENSG00000006075",9
"126","ENSG00000006114",1891
"127","ENSG00000006116",0
"128","ENSG00000006118",5
"129","ENSG00000006125",2588
"130","ENSG00000006128",0
"131","ENSG00000006194",559
"132","ENSG00000006210",0
"133","ENSG00000006282",441
"134","ENSG00000006283",2
"135","ENSG00000006327",29
"136","ENSG00000006377",0
"137","ENSG00000006432",103
"138","ENSG00000006451",261
"139","ENSG00000006453",21
"140","ENSG00000006459",941
"141","ENSG00000006468",1
"142","ENSG00000006530",333
"143","ENSG00000006534",820
"144","ENSG00000006555",307
"145","ENSG00000006576",224
"146","ENSG00000006606",0
"147","ENSG00000006607",196
"148","ENSG00000006611",0
"149","ENSG00000006625",45
"150","ENSG00000006634",97
"151","ENSG00000006638",62
"152","ENSG00000006652",454
"153","ENSG00000006659",0
"154","ENSG00000006695",128
"155","ENSG00000006704",1
"156","ENSG00000006712",711
"157","ENSG00000006715",689
"158","ENSG00000006740",11
"159","ENSG00000006744",713
"160","ENSG00000006747",4
"161","ENSG00000006756",219
"162","ENSG00000006757",51
"163","ENSG00000006788",0
"164","ENSG00000006831",803
"165","ENSG00000006837",2
"166","ENSG00000007001",0
"167","ENSG00000007038",34
"168","ENSG00000007047",472
"169","ENSG00000007062",0
"170","ENSG00000007080",224
"171","ENSG00000007129",233
"172","ENSG00000007168",1221
"173","ENSG00000007171",4
"174","ENSG00000007174",1
"175","ENSG00000007202",1755
"176","ENSG00000007216",0
"177","ENSG00000007237",1872
"178","ENSG00000007255",155
"179","ENSG00000007264",1032
"180","ENSG00000007306",0
"181","ENSG00000007312",678
"182","ENSG00000007314",16
"183","ENSG00000007341",42
"184","ENSG00000007350",168
"185","ENSG00000007372",19
"186","ENSG00000007376",325
"187","ENSG00000007384",0
"188","ENSG00000007392",581
"189","ENSG00000007402",209
"190","ENSG00000007516",125
"191","ENSG00000007520",146
"192","ENSG00000007541",466
"193","ENSG00000007545",211
"194","ENSG00000007866",3
"195","ENSG00000007908",1
"196","ENSG00000007923",224
"197","ENSG00000007933",0
"198","ENSG00000007944",780
"199","ENSG00000007952",4
"200","ENSG00000007968",202
"201","ENSG00000008018",468
"202","ENSG00000008056",11
"203","ENSG00000008083",1451
"204","ENSG00000008086",23
"205","ENSG00000008118",0
"206","ENSG00000008128",58
"207","ENSG00000008130",5181
"208","ENSG00000008196",0
"209","ENSG00000008197",0
"210","ENSG00000008226",70
"211","ENSG00000008256",182
"212","ENSG00000008277",55
"213","ENSG00000008282",434
"214","ENSG00000008283",265
"215","ENSG00000008294",992
"216","ENSG00000008300",55
"217","ENSG00000008311",13
"218","ENSG00000008323",15
"219","ENSG00000008324",48
"220","ENSG00000008382",63
"221","ENSG00000008394",101
"222","ENSG00000008405",145
"223","ENSG00000008438",164
"224","ENSG00000008441",283
"225","ENSG00000008513",2236
"226","ENSG00000008516",5599
"227","ENSG00000008517",1597
"228","ENSG00000008710",719
"229","ENSG00000008735",2
"230","ENSG00000008838",707
"231","ENSG00000008853",181
"232","ENSG00000008869",692
"233","ENSG00000008952",780
"234","ENSG00000008988",723
"235","ENSG00000009307",4566
"236","ENSG00000009335",750
"237","ENSG00000009413",257
"238","ENSG00000009694",70
"239","ENSG00000009709",0
"240","ENSG00000009724",92
"241","ENSG00000009765",0
"242","ENSG00000009780",132
"243","ENSG00000009790",2891
"244","ENSG00000009830",98
"245","ENSG00000009844",251
"246","ENSG00000009950",1
"247","ENSG00000009954",1071
"248","ENSG00000010017",344
"249","ENSG00000010030",47
"250","ENSG00000010072",110
"251","ENSG00000010165",297
"252","ENSG00000010219",83
"253","ENSG00000010244",1988
"254","ENSG00000010256",840
"255","ENSG00000010270",178
"256","ENSG00000010278",124
"257","ENSG00000010282",0
"258","ENSG00000010292",931
"259","ENSG00000010295",932
"260","ENSG00000010310",81
"261","ENSG00000010318",31
"262","ENSG00000010319",5
"263","ENSG00000010322",1835
"264","ENSG00000010327",1488
"265","ENSG00000010361",161
"266","ENSG00000010379",1
"267","ENSG00000010404",3532
"268","ENSG00000010438",8
"269","ENSG00000010539",238
"270","ENSG00000010610",4014
"271","ENSG00000010626",33
"272","ENSG00000010671",1074
"273","ENSG00000010704",94
"274","ENSG00000010803",161
"275","ENSG00000010810",2629
"276","ENSG00000010818",754
"277","ENSG00000010932",1
"278","ENSG00000011007",420
"279","ENSG00000011009",713
"280","ENSG00000011021",298
"281","ENSG00000011028",72
"282","ENSG00000011052",0
"283","ENSG00000011083",0
"284","ENSG00000011105",27
"285","ENSG00000011114",300
"286","ENSG00000011132",483
"287","ENSG00000011143",52
"288","ENSG00000011198",572
"289","ENSG00000011201",0
"290","ENSG00000011243",856
"291","ENSG00000011258",333
"292","ENSG00000011260",211
"293","ENSG00000011275",1331
"294","ENSG00000011295",230
"295","ENSG00000011304",2827
"296","ENSG00000011332",1
"297","ENSG00000011347",0
"298","ENSG00000011376",149
"299","ENSG00000011405",361
"300","ENSG00000011422",807
"301","ENSG00000011426",12
"302","ENSG00000011451",654
"303","ENSG00000011454",425
"304","ENSG00000011465",0
"305","ENSG00000011478",101
"306","ENSG00000011485",473
"307","ENSG00000011523",288
"308","ENSG00000011566",49
"309","ENSG00000011590",28
"310","ENSG00000011600",3682
"311","ENSG00000011638",110
"312","ENSG00000011677",0
"313","ENSG00000012048",106
"314","ENSG00000012061",456
"315","ENSG00000012124",1210
"316","ENSG00000012171",9
"317","ENSG00000012174",55
"318","ENSG00000012211",159
"319","ENSG00000012223",78
"320","ENSG00000012232",1246
"321","ENSG00000012504",0
"322","ENSG00000012660",2065
"323","ENSG00000012779",4429
"324","ENSG00000012817",1028
"325","ENSG00000012822",1948
"326","ENSG00000012963",336
"327","ENSG00000012983",219
"328","ENSG00000013016",168
"329","ENSG00000013275",596
"330","ENSG00000013288",1766
"331","ENSG00000013293",0
"332","ENSG00000013297",0
"333","ENSG00000013306",11435
"334","ENSG00000013364",3581
