gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,
NovelmiRNA-1225,32.69287855,-7.810394044,1.720447478,-4.539745701,5.63E-06,0.008667973,,,5.249321047,,,,,,
NovelmiRNA-658,8.450411701,-5.715530062,1.95847876,-2.918351824,0.003518871,0.694462852,,,2.583251492,,,,,,
NovelmiRNA-363,7.392548945,-5.535195224,1.976909395,-2.799923576,0.005111471,0.694462852,,,2.453596687,,,,,,
NovelmiRNA-28,5.455806887,-5.397699054,1.962431195,-2.750516333,0.005950143,0.694462852,,,2.448994731,,,,,,
NovelmiRNA-1226,5.129886008,-4.995100139,2.03702302,-2.452156941,0.014200271,0.694462852,,,2.291454129,,,,,,
hsa-miR-6803-3p,4.017309387,-4.897376412,2.026699023,-2.416430046,0.015673538,0.694462852,,,2.225472632,,,,,,
NovelmiRNA-556,4.394214085,-4.769735545,2.061831224,-2.313349167,0.02070345,0.694462852,,,1.951084889,,,,,,
hsa-miR-7854-3p,3.960205368,-4.64142907,2.075152939,-2.236668432,0.025308019,0.694462852,,,1.84770336,,,,,,
NovelmiRNA-958,5.05775667,-4.6234176,2.098272995,-2.2034395,NA,NA,,,1.826958859,,,,,,
NovelmiRNA-1112,5.05775667,-4.6234176,2.098272995,-2.2034395,NA,NA,,,1.804832969,,,,,,
NovelmiRNA-647,4.847016808,-4.558282135,2.104733014,-2.165729385,NA,NA,,,1.746718197,,,,,,
NovelmiRNA-890,4.847016808,-4.558282135,2.104733014,-2.165729385,NA,NA,,,1.683957288,,,,,,
hsa-miR-496,4.709234453,-4.550794145,2.104863292,-2.162037868,NA,NA,,,1.596741853,,,,,,
NovelmiRNA-847,4.581957846,-4.508474478,2.10907157,-2.137658362,NA,NA,,,1.457136788,,,,,,
NovelmiRNA-1246,4.636276947,-4.489908959,2.111463944,-2.126443585,NA,NA,,,1.403143804,,,,,,
NovelmiRNA-950,273.4109066,-4.445521443,2.181950212,-2.03740737,0.041609236,0.694462852,,,1.38081026,,,,,,
hsa-miR-4709-3p,3.586741091,-4.43050579,2.100281835,-2.109481554,0.034903037,0.694462852,,,1.365345702,,,,,,
NovelmiRNA-679,4.425537086,-4.41814496,2.118457351,-2.085548221,NA,NA,,,1.365345702,,,,,,
NovelmiRNA-931,4.425537086,-4.41814496,2.118457351,-2.085548221,NA,NA,,,1.244223297,,,,,,
NovelmiRNA-1250,4.248616551,-4.381906504,2.121648512,-2.065331028,NA,NA,,,1.228006641,,,,,,
NovelmiRNA-1259,3.37600123,-4.342495533,2.109344945,-2.058693882,0.039523573,0.694462852,,,1.217741123,,,,,,
NovelmiRNA-251,4.102112532,-4.327714239,2.126860592,-2.0347898,NA,NA,,,1.210570192,,,,,,
hsa-miR-5009-5p,3.169424819,-4.27746075,2.114864866,-2.0225693,0.043117572,0.694462852,,,1.206264274,,,,,,
